class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
Walking,0.645255089,0.040771246,-0.546833932,0.999810398,0.662721097,0.010681868,-0.523226976,0.999551356,0.671795309,0.013036966,-0.523303449,0.999411106,0.679902911,0.014683783,-0.523470163,0.999423862,0.639091671,0.004154503,-0.516801834,0.999463141,0.632862389,0.002330065,-0.516828477,0.999274313,0.627720058,0.000824392,-0.516994774,0.999341428,0.690556705,0.028191747,-0.370742291,0.999414206,0.622960031,0.024577618,-0.340478301,0.998800993,0.659634292,0.075838953,-0.489372194,0.99995172,0.634409428,0.072146028,-0.480862528,0.999927282,0.74440676,0.247231036,-0.271207958,0.999816239,0.568239272,0.245734155,-0.230596095,0.99976474,0.763948798,0.477506459,-0.225145385,0.983849883,0.541226625,0.448041588,-0.176119611,0.982398689,0.748408496,0.666013837,-0.35256207,0.91768086,0.525350809,0.639172256,-0.311279625,0.938898265,0.750223637,0.736854494,-0.40215826,0.849233329,0.508551002,0.691681623,-0.351925254,0.890430629,0.73099786,0.722371101,-0.436378956,0.856676936,0.526137114,0.697426617,-0.403268516,0.89754343,0.725609243,0.701644778,-0.367114931,0.848288774,0.53659302,0.676600397,-0.334147096,0.886013269,0.69496119,0.610391617,-0.007903297,0.999504209,0.602347076,0.608481169,0.007903646,0.998624206,0.715038717,0.844741881,-0.246998399,0.839344084,0.583073676,0.893390596,-0.008540776,0.805357277,0.702626824,1.059402466,0.166876525,0.414473534,0.604525506,1.063378334,0.451751232,0.273813635,0.692460597,1.088790894,0.201213092,0.326015055,0.614702582,1.087249517,0.492615938,0.246802852,0.723112106,1.16671443,0.034334116,0.36121124,0.591787279,1.16403985,0.337688535,0.215072855
Walking,0.634238422,0.04099796,-0.358395994,0.999825954,0.649154544,0.010807433,-0.341664821,0.999589384,0.659085095,0.013033573,-0.341866493,0.999465406,0.668435395,0.01467504,-0.341972977,0.999474347,0.628666997,0.005992095,-0.329085737,0.999506652,0.623491049,0.005033984,-0.329132169,0.999337554,0.618586123,0.004470122,-0.329291999,0.999391377,0.682500839,0.029463541,-0.219067931,0.999467492,0.618831873,0.026873156,-0.160936877,0.998915851,0.648687005,0.078333661,-0.312540501,0.999955416,0.626498163,0.073160015,-0.295951188,0.99993223,0.740476072,0.244726777,-0.156745508,0.999830544,0.569703221,0.248676062,-0.057968874,0.999780476,0.758949757,0.479061335,-0.348724186,0.985191584,0.54640162,0.466111302,0.011418683,0.981883526,0.724636734,0.420180261,-0.734464407,0.92566973,0.531063676,0.64581424,-0.126629248,0.94310832,0.720255256,0.433069021,-0.80830133,0.863861263,0.51729846,0.699659109,-0.148094326,0.897777379,0.708239377,0.415928662,-0.794584632,0.870572388,0.529304624,0.703974426,-0.193079323,0.904409945,0.706541479,0.407904267,-0.734015584,0.862893462,0.538794577,0.685809851,-0.145027995,0.894352913,0.695158839,0.647195041,-0.017482383,0.999527574,0.600651443,0.64773941,0.017734647,0.998717844,0.694448769,0.954518914,-0.087665007,0.818924427,0.581863165,0.97085011,-0.125916958,0.809264243,0.697064877,1.163760066,0.323363155,0.375702739,0.601927221,1.134191394,0.345457494,0.248070702,0.69266814,1.198620915,0.359637022,0.29737851,0.608342946,1.151381135,0.392962635,0.224576905,0.700291514,1.251891375,0.250776649,0.326334327,0.593545616,1.22917819,0.300174773,0.194707572
Walking,0.635364354,0.042563744,-0.419574082,0.999839544,0.651019633,0.012206828,-0.400036812,0.999617279,0.660680234,0.014176503,-0.400165945,0.999510586,0.669801593,0.016078234,-0.400231272,0.999509037,0.629803538,0.008136085,-0.388783276,0.999543071,0.6244241,0.007345743,-0.388861954,0.999394417,0.619451165,0.007031241,-0.389022321,0.999434054,0.682932198,0.03200566,-0.257705629,0.999508977,0.619785845,0.027552295,-0.204102308,0.999020219,0.649846256,0.082057826,-0.366217494,0.999956906,0.627124012,0.074433908,-0.351407349,0.999935508,0.739649713,0.23967129,-0.1718162,0.999813139,0.574261367,0.24910228,-0.084780812,0.999792457,0.763240218,0.46544534,-0.396230817,0.986348748,0.550495028,0.473780513,-0.022399416,0.982767344,0.734033942,0.293634683,-0.728417933,0.932166457,0.531732857,0.65260452,-0.131848857,0.947649419,0.727538407,0.208747417,-0.787482083,0.875445843,0.517947316,0.70808804,-0.139596805,0.905136466,0.709566236,0.193134055,-0.756363153,0.881383479,0.529205501,0.713199794,-0.18255052,0.911340177,0.710227132,0.209003747,-0.720539987,0.874434114,0.538758397,0.694311202,-0.147883758,0.902663529,0.696220219,0.663829803,-0.021896122,0.999514401,0.600484967,0.661621988,0.022137264,0.998764455,0.693647742,0.962532699,-0.060756721,0.806194425,0.581862569,0.974475086,-0.051619064,0.815308034,0.696953297,1.224438071,0.352312326,0.340284079,0.601097107,1.205769658,0.378737509,0.226333648,0.695219636,1.262881517,0.386799663,0.269989491,0.605099022,1.235019565,0.417636216,0.205522731,0.6949929,1.31784296,0.250671744,0.294489652,0.597716928,1.30803895,0.283328056,0.176923424
Walking,0.643463194,0.049121395,-0.388549566,0.99985373,0.66022718,0.019801233,-0.364401042,0.999650836,0.669159293,0.022053707,-0.364524186,0.999556243,0.677181304,0.024471162,-0.364629745,0.999552488,0.637437224,0.014907747,-0.356943458,0.999583662,0.63126123,0.013582685,-0.356890023,0.999450028,0.626130521,0.012904732,-0.357029378,0.999481261,0.690981567,0.039836466,-0.207304046,0.999553204,0.627386987,0.029593375,-0.172911137,0.999116361,0.659214497,0.087825797,-0.329834253,0.999959528,0.635769248,0.079918541,-0.320473105,0.999940097,0.737961173,0.230996951,-0.138982803,0.999819875,0.580823302,0.246807545,-0.036318053,0.999793053,0.776011527,0.383632928,-0.391566604,0.987572014,0.553549469,0.47341013,0.096063226,0.98190856,0.737899542,0.139694154,-0.730223,0.93881309,0.53076905,0.651814878,0.06743636,0.950905323,0.729493856,0.079483241,-0.796283185,0.887438476,0.517785668,0.707053483,0.075174645,0.909870744,0.725989461,0.068141945,-0.764475346,0.892758548,0.524040103,0.712612689,0.021797325,0.915813148,0.725726426,0.087902315,-0.724166989,0.88643086,0.533713102,0.693454981,0.04926284,0.908385515,0.696192741,0.668651164,-0.023575488,0.999497175,0.600520074,0.663695753,0.023834096,0.998750091,0.691129863,0.960992873,-0.081841335,0.797932565,0.580957294,0.962303817,-0.005554739,0.816156566,0.693732083,1.219097614,0.298541725,0.309901774,0.589999795,1.205617547,0.362070978,0.209191337,0.694789588,1.256285429,0.330922902,0.24735561,0.592713118,1.237160087,0.395281732,0.190676183,0.687702835,1.311644554,0.19683671,0.266340941,0.591573656,1.307206511,0.252237648,0.161594987
Walking,0.653690338,0.053964198,-0.338287264,0.999865711,0.671250701,0.023983222,-0.31502682,0.999679267,0.679161847,0.025641736,-0.315149367,0.999595582,0.686369538,0.027633907,-0.315245539,0.999589443,0.648519814,0.020412752,-0.308898479,0.999619365,0.641866446,0.01939616,-0.308846474,0.999499321,0.636380374,0.018880518,-0.309007943,0.999524355,0.699701667,0.041437507,-0.167244047,0.999590397,0.636834025,0.031993303,-0.138234898,0.999202669,0.667782366,0.090780228,-0.282858849,0.999961138,0.644767225,0.085452348,-0.27506274,0.999943793,0.738240361,0.2243945,-0.116591491,0.999814987,0.588828385,0.246703252,-0.02261447,0.999795079,0.794055164,0.308036625,-0.399396718,0.988610923,0.559971154,0.471584499,0.118012533,0.980215251,0.746290207,0.103527814,-0.754299283,0.944613338,0.53355062,0.643402994,0.120523468,0.952821851,0.731016517,0.040290132,-0.822307587,0.897680342,0.518132329,0.701719046,0.126506001,0.912722588,0.733112276,0.036985144,-0.790813804,0.902391553,0.524750352,0.705667496,0.075842574,0.918488085,0.732488096,0.057775207,-0.74955833,0.896500409,0.53472048,0.687024891,0.103775382,0.911885262,0.696083546,0.663741648,-0.023553614,0.999458015,0.600631416,0.65984571,0.023728708,0.998704851,0.689038515,0.944524467,-0.093610093,0.793442547,0.581535697,0.955750108,-0.00827205,0.817976713,0.694143593,1.200930715,0.267411649,0.28914693,0.59110266,1.186472535,0.312761456,0.201069713,0.694831371,1.234552622,0.301914513,0.233659938,0.595510483,1.214090109,0.343399554,0.182385206,0.692335486,1.295143008,0.15968582,0.244562045,0.594682336,1.290752292,0.20223026,0.151499748
Walking,0.660832167,0.053604528,-0.346519321,0.999877274,0.678898931,0.023792807,-0.321990669,0.999706507,0.686715364,0.025463464,-0.322087824,0.999632299,0.693914056,0.027460568,-0.322174728,0.999624372,0.654266238,0.019923065,-0.317696631,0.999653578,0.646982253,0.018778322,-0.317643762,0.999545932,0.641064286,0.018148167,-0.317796469,0.999565899,0.707158864,0.04126418,-0.172364354,0.999625981,0.639819384,0.031897545,-0.152351916,0.999281049,0.674940467,0.091130704,-0.291373104,0.999963522,0.650313139,0.086590335,-0.285957128,0.999948144,0.73856461,0.222447008,-0.130629331,0.999814928,0.591650903,0.246673226,-0.040450912,0.999797523,0.806513608,0.285567373,-0.409010231,0.989551306,0.56620276,0.470515519,0.103820369,0.9764117,0.751750112,0.088127717,-0.742733598,0.949618042,0.539431691,0.639883995,0.115087569,0.950016737,0.733218849,0.030227033,-0.812804818,0.906022787,0.522350311,0.698645771,0.120726727,0.908192813,0.734070361,0.028893257,-0.779085517,0.910114169,0.528407335,0.700227916,0.067142107,0.914122164,0.733456731,0.048030548,-0.737252355,0.904358506,0.538281441,0.682551742,0.097353689,0.908294618,0.699993968,0.664749444,-0.024542907,0.999348044,0.604917347,0.661861539,0.024711551,0.99848491,0.691417396,0.940300584,-0.116318002,0.798916876,0.581593871,0.950336516,0.014879425,0.819920957,0.695711493,1.185249686,0.22841987,0.286026418,0.592095494,1.167528749,0.354619771,0.205612719,0.695980787,1.217442036,0.255728543,0.239000693,0.597468257,1.194402933,0.390855014,0.190194324,0.694616079,1.281645536,0.1307538,0.233002082,0.594087958,1.270414114,0.244825006,0.148521945
Walking,0.667650282,0.053712972,-0.386317223,0.999888301,0.685168922,0.024013689,-0.362248123,0.999732375,0.692607164,0.025945337,-0.362326741,0.999666333,0.69996345,0.028326914,-0.362415105,0.999657154,0.663617373,0.019653056,-0.357254088,0.999685824,0.656605601,0.018401824,-0.357199132,0.999589145,0.650610805,0.017721085,-0.357358009,0.999605417,0.714401364,0.044309262,-0.209258169,0.999659479,0.649536371,0.031806532,-0.185833037,0.999352157,0.680711329,0.091392241,-0.329352349,0.999966025,0.657702565,0.086929493,-0.322856575,0.999952495,0.744024634,0.219342023,-0.154503524,0.999813616,0.597945571,0.245717868,-0.062437318,0.999802172,0.815652728,0.271700174,-0.42654115,0.990434051,0.57350117,0.463681042,0.089233309,0.974483848,0.757703602,0.067954458,-0.757436216,0.954252481,0.549978852,0.636296272,0.106734708,0.950428665,0.737963498,0.016252836,-0.829276383,0.913924396,0.53626591,0.697556078,0.115183279,0.908354282,0.736380696,0.014322958,-0.792734385,0.917489469,0.544730008,0.697505176,0.063331693,0.914162159,0.736872375,0.035624471,-0.750498652,0.911875248,0.552576602,0.68034327,0.090896003,0.908754766,0.704621673,0.663612902,-0.029524093,0.999150217,0.614216745,0.661460876,0.029722963,0.998159766,0.693296194,0.93736434,-0.130458549,0.805363178,0.581855774,0.945153832,0.035226278,0.818780124,0.697376907,1.180160403,0.199558437,0.285851717,0.596583009,1.161917925,0.359963477,0.211100608,0.697940946,1.212081671,0.226054549,0.247445956,0.6048581,1.191232681,0.400287926,0.202802628,0.696900725,1.277079821,0.093492188,0.223106369,0.592437804,1.262745738,0.247471616,0.146370083
Walking,0.672290027,0.053019401,-0.403369576,0.99989742,0.690720499,0.022831934,-0.379455924,0.999752283,0.698976517,0.025146602,-0.379531711,0.999694467,0.70698458,0.027970953,-0.379614115,0.999681294,0.668515027,0.017676005,-0.373753399,0.999712765,0.661414266,0.016364349,-0.373708546,0.999626517,0.655299067,0.015782634,-0.373870432,0.999638259,0.721645176,0.043816067,-0.225392818,0.99968493,0.654626489,0.029998247,-0.199478313,0.999415696,0.685639977,0.091063932,-0.346158773,0.999967217,0.662466884,0.086617373,-0.338878363,0.999955952,0.750917554,0.21651122,-0.165288791,0.999800503,0.603029847,0.244836703,-0.073631071,0.999805689,0.822475135,0.258465916,-0.438362181,0.991161644,0.578168809,0.462544858,0.082667373,0.972924292,0.761828065,0.062114302,-0.76962626,0.958395064,0.556281745,0.635991395,0.094029397,0.951237738,0.742062449,0.009389376,-0.841954052,0.921028733,0.543523669,0.697529137,0.100007907,0.909618556,0.738771319,0.008064321,-0.808022857,0.924128532,0.554424465,0.696831584,0.050118208,0.915315747,0.739657402,0.029539905,-0.7635867,0.918671489,0.561907768,0.679738045,0.079087719,0.910177708,0.71239841,0.668513179,-0.028000807,0.998960972,0.62124759,0.663979113,0.028176308,0.997947395,0.699326158,0.975683093,-0.096290044,0.807470143,0.587090015,0.958202541,0.006372883,0.824238122,0.69877404,1.18137908,0.305407703,0.277127415,0.600484967,1.172435284,0.359410465,0.216565967,0.698952019,1.211867213,0.339285493,0.244911104,0.608434498,1.199659586,0.39498207,0.206934541,0.69800657,1.280846715,0.205317616,0.210143402,0.597127676,1.28125453,0.243392631,0.14378655
Walking,0.669376373,0.051696178,-0.342924416,0.999903202,0.687439919,0.020884227,-0.324848115,0.999765456,0.695950508,0.022809373,-0.324964195,0.999715567,0.703750193,0.025211373,-0.325071216,0.999699414,0.664620519,0.016655739,-0.312242746,0.999731362,0.657741368,0.01554886,-0.312147915,0.999653697,0.651872277,0.015160713,-0.312345207,0.999659121,0.718281209,0.040905647,-0.1938584,0.999705672,0.651820481,0.02857523,-0.134045765,0.999469817,0.683934689,0.089990616,-0.29322648,0.999967396,0.659831762,0.086201027,-0.276292861,0.999957383,0.752783,0.207858294,-0.153716773,0.999792874,0.607700706,0.241649434,-0.017962074,0.999802947,0.816542745,0.268454373,-0.429914713,0.991820514,0.584864974,0.462311566,0.118737578,0.968952477,0.761390686,0.059204653,-0.743348897,0.962215304,0.563438654,0.63612473,0.093676023,0.951992035,0.743767262,0.004845024,-0.812500179,0.927817523,0.549369454,0.697836995,0.095906615,0.911377966,0.741123199,-0.00187706,-0.778486311,0.930537105,0.559138238,0.697043061,0.046861857,0.916960716,0.741760969,0.022721561,-0.736357987,0.925363481,0.567778051,0.680479288,0.076645061,0.912291169,0.713335216,0.670502961,-0.033114798,0.998865962,0.625827372,0.66518259,0.033257365,0.997781217,0.70357883,0.988503277,-0.113260627,0.80636996,0.590778828,0.959093332,0.028679078,0.820967257,0.708010793,1.189874649,0.293495655,0.267876416,0.612463832,1.190888643,0.365820408,0.221606582,0.71056813,1.21771729,0.329105258,0.238972932,0.621125221,1.218429446,0.398860753,0.209022298,0.701613009,1.292091012,0.197878689,0.198146135,0.609115899,1.300735235,0.248997644,0.142669752
Walking,0.665300429,0.04735088,-0.324815243,0.999905407,0.682929277,0.01462374,-0.313404202,0.999770582,0.692612052,0.016645268,-0.313540041,0.999729753,0.702305436,0.01923161,-0.313708663,0.999708593,0.661282659,0.010523303,-0.294607222,0.999739707,0.65552938,0.009744108,-0.294499636,0.99966979,0.650359094,0.009621067,-0.294723183,0.999666214,0.716642439,0.037908647,-0.201233745,0.999718428,0.649429202,0.024902023,-0.11554639,0.999515235,0.682326615,0.086819343,-0.280893505,0.999965012,0.658720136,0.081161,-0.256126642,0.999955177,0.752018511,0.201698139,-0.159854054,0.999773443,0.606468797,0.23945047,0.004388882,0.999791324,0.811168849,0.294401944,-0.451583326,0.992022574,0.585055172,0.463613302,0.150658578,0.958794892,0.760716736,0.080582261,-0.776643336,0.965269923,0.56324017,0.650133073,0.125706747,0.950618565,0.74385494,0.019091811,-0.845961094,0.933119416,0.549183309,0.707952976,0.130312875,0.910595,0.741012216,0.007282543,-0.810215771,0.935428083,0.557910562,0.708200872,0.082210205,0.91621232,0.741376221,0.03529181,-0.769113898,0.930260897,0.566432118,0.691705465,0.108644642,0.911913455,0.712303936,0.673656285,-0.042873792,0.998802781,0.623597264,0.668796182,0.042895291,0.997701466,0.703599215,1.003227353,-0.119766973,0.7979877,0.587207675,0.972325027,0.019044265,0.810467184,0.710091531,1.207030535,0.310848773,0.256263733,0.613750458,1.211086631,0.36841467,0.214357793,0.713546157,1.234313369,0.35063374,0.232410312,0.623349071,1.23422718,0.400941849,0.203087047,0.702604234,1.309289336,0.227884486,0.186950982,0.610165119,1.3222965,0.277373433,0.136305928
Walking,0.640151501,0.048685048,-0.279356271,0.999879658,0.653189838,0.014629743,-0.287783056,0.999730587,0.663138092,0.015855484,-0.287909716,0.999711275,0.674013555,0.016981041,-0.28806442,0.999667466,0.63367337,0.013969739,-0.25588122,0.999684691,0.62798512,0.015455389,-0.255803347,0.999623775,0.622421145,0.017240873,-0.25607121,0.999592245,0.698621213,0.03500561,-0.20907028,0.999690175,0.63509655,0.033050962,-0.092056751,0.999540746,0.661107302,0.086134233,-0.254988909,0.999947488,0.637408197,0.082143411,-0.213083312,0.999935448,0.755086064,0.203518972,-0.180245489,0.999646246,0.603743076,0.239615574,0.013923576,0.999782324,0.756252229,0.35944286,-0.455599248,0.990145683,0.583909869,0.471167535,0.139084622,0.952498138,0.71467936,0.121498406,-0.743762314,0.967309356,0.5608989,0.654065847,0.084426515,0.949558794,0.699263394,0.060342278,-0.806691051,0.93707931,0.548345149,0.712240875,0.085219845,0.908885837,0.7045331,0.043261714,-0.779050767,0.938982308,0.556734562,0.713334799,0.040361971,0.914352298,0.7089926,0.06495823,-0.738152027,0.933803856,0.564259589,0.697220504,0.067055829,0.910817027,0.712195277,0.67455101,-0.040159415,0.998796701,0.622523189,0.671841323,0.040215679,0.997801483,0.701031506,1.026402235,-0.1071098,0.79297328,0.57809484,0.997804701,-0.017448287,0.81848681,0.706235051,1.267356396,0.325044483,0.239784881,0.606731534,1.268728852,0.342928439,0.207160637,0.710769773,1.301946878,0.364042997,0.219766155,0.616508245,1.296907425,0.378074408,0.190888241,0.694684863,1.377689481,0.230429932,0.173637301,0.606076062,1.38777709,0.240977764,0.129215136
Walking,0.616047621,0.04858629,-0.460097641,0.999784589,0.630637944,0.009586821,-0.470129013,0.999620557,0.64052856,0.008083689,-0.470306247,0.999630392,0.650900483,0.006634199,-0.470568329,0.999582291,0.606505036,0.013407094,-0.433114588,0.999545991,0.599378705,0.015345684,-0.433097988,0.999475718,0.593388855,0.016953999,-0.433320045,0.999425828,0.676199675,0.020557661,-0.405696779,0.999660134,0.603671074,0.032946669,-0.235491797,0.999463439,0.635584652,0.08394222,-0.430605024,0.999931455,0.612044394,0.082162023,-0.37975201,0.999895751,0.753265619,0.2039859,-0.328494966,0.999563873,0.589632392,0.242078021,-0.07998874,0.999751925,0.753671467,0.465851307,-0.386069536,0.981168449,0.581226289,0.48208043,0.086643457,0.936071038,0.721827686,0.641593874,-0.53607589,0.926816106,0.559615016,0.663023889,-0.082945034,0.933967531,0.707250714,0.699958622,-0.59174931,0.892413735,0.548652053,0.721088588,-0.106927119,0.89057827,0.704254031,0.634770095,-0.609038055,0.896550179,0.554473519,0.718177736,-0.156722158,0.898275852,0.70326668,0.611254573,-0.543253124,0.892317057,0.562350392,0.701761305,-0.106852911,0.895900846,0.711880803,0.686207473,-0.049824644,0.998181164,0.613393664,0.684371948,0.050211638,0.997413993,0.700701714,1.04457736,-0.103016935,0.786102951,0.56886673,0.9974913,0.007648193,0.82315731,0.706056774,1.297522306,0.371071368,0.231360182,0.602763772,1.280664682,0.47306928,0.199357703,0.70938468,1.335627913,0.411214888,0.209154919,0.614196897,1.308288693,0.517704904,0.180748969,0.692362487,1.412267923,0.239184231,0.163844496,0.60116899,1.406156778,0.361962646,0.123079538
Walking,0.568104506,0.051706027,-0.435065567,0.999752939,0.580092967,0.009863909,-0.436894238,0.999594867,0.589226007,0.008430694,-0.437092602,0.99961251,0.599070907,0.006210909,-0.437375069,0.999578416,0.560979247,0.018495386,-0.404213667,0.999475718,0.555826366,0.021716287,-0.404172659,0.999369919,0.551363409,0.024250289,-0.40436855,0.999309421,0.623861194,0.016942242,-0.367073178,0.999678969,0.566745996,0.035927139,-0.223890752,0.9993788,0.589482486,0.083960541,-0.40342626,0.999932408,0.568085372,0.085702337,-0.358552873,0.999882042,0.71673131,0.205838695,-0.340267271,0.999602139,0.567837834,0.250060916,-0.039851017,0.999643505,0.743076742,0.474380583,-0.378169328,0.982509494,0.566107035,0.501176,0.079177782,0.869305074,0.636309147,0.666227043,-0.456394613,0.930076718,0.558288455,0.665198267,-0.110607088,0.868950248,0.611458898,0.723873675,-0.520224094,0.894084275,0.546718299,0.723240554,-0.140527368,0.830205977,0.574125171,0.712164462,-0.511911273,0.898156404,0.544284701,0.717586279,-0.195285425,0.838650048,0.599132955,0.668817163,-0.450175762,0.892214954,0.555551648,0.700317621,-0.138461024,0.83919704,0.676167488,0.700938225,-0.073294327,0.99793148,0.589152873,0.696752965,0.073786601,0.996877253,0.667314827,1.062203288,-0.190699577,0.77370888,0.546415031,0.992920876,-0.055606991,0.800513029,0.704443514,1.280343056,0.281397134,0.231153443,0.597350717,1.277982593,0.369853348,0.195296779,0.710210025,1.30587256,0.323392749,0.210859582,0.61297828,1.302066684,0.41153422,0.18018879,0.693394125,1.405117035,0.170336977,0.16137287,0.586912811,1.411203027,0.272858948,0.121883646
Walking,0.541956365,0.044715881,-0.42468977,0.999535441,0.555375934,0.002140838,-0.422213227,0.999270141,0.563846648,-0.000611501,-0.422794044,0.999338448,0.572705507,-0.003174287,-0.42317453,0.999410331,0.535708308,0.01493837,-0.370700657,0.998799562,0.52987206,0.020171851,-0.37071082,0.998323798,0.524778008,0.023775291,-0.370931327,0.998156607,0.595644355,0.010843355,-0.325323552,0.999593079,0.534444392,0.035987437,-0.156161547,0.997620642,0.560810208,0.074672885,-0.388088256,0.999895513,0.540394068,0.083321147,-0.336446464,0.999690831,0.684807062,0.206189215,-0.302653134,0.99963367,0.539830685,0.260298997,0.032201275,0.998490989,0.717725933,0.475473106,-0.378292084,0.98408705,0.548417866,0.512229323,0.138400018,0.802403867,0.602090776,0.66314733,-0.499957174,0.936569571,0.548892736,0.669637263,-0.06531398,0.809353709,0.584747136,0.737646043,-0.567584097,0.903198123,0.546615958,0.738647103,-0.087341592,0.774499595,0.563230872,0.719121873,-0.55893296,0.906848431,0.54427892,0.721223593,-0.13805683,0.783095777,0.566208959,0.697967052,-0.492446423,0.900928736,0.548070729,0.709351242,-0.088981435,0.786935806,0.6634202,0.710120618,-0.069935665,0.997492254,0.573257089,0.710499883,0.070642978,0.996089339,0.667362273,1.060148954,-0.193037912,0.753981113,0.547825754,1.028612137,-0.144591749,0.77916044,0.688514054,1.290943027,0.255286306,0.215643868,0.575041056,1.29244113,0.274677098,0.184070557,0.693650186,1.32027185,0.29166913,0.199330673,0.58637619,1.325431466,0.313254178,0.171911925,0.685710907,1.419363022,0.122791193,0.149780259,0.562444568,1.418895364,0.139444232,0.116479665
Walking,0.491396517,0.047367062,-0.385455161,0.999294937,0.503967881,0.004018148,-0.402881801,0.999110818,0.511755943,0.00038911,-0.403432429,0.999221444,0.519475818,-0.002856198,-0.403740555,0.999333084,0.487247765,0.016590497,-0.340946317,0.998519361,0.483707428,0.020993788,-0.340818942,0.997938156,0.480690241,0.024093501,-0.340996712,0.997564256,0.545002818,0.012574413,-0.34952265,0.999575853,0.501148939,0.034476817,-0.136952117,0.996953607,0.511101127,0.075295143,-0.38699168,0.999830008,0.49500069,0.084800571,-0.304206669,0.999395609,0.6229617,0.204329029,-0.407457739,0.99966228,0.518028021,0.250200003,0.096112967,0.998221576,0.658573985,0.506471574,-0.415268034,0.985426247,0.526550531,0.507521331,0.278688192,0.754178941,0.642091632,0.794895709,-0.427809477,0.941930592,0.496599853,0.68595767,0.187903091,0.781657934,0.638717771,0.86724025,-0.476762533,0.910561919,0.484273136,0.750382721,0.202956438,0.746533334,0.622965872,0.875300109,-0.490715981,0.914177597,0.483584821,0.759119332,0.132417262,0.759492278,0.621801496,0.854178011,-0.428547055,0.908520699,0.491710186,0.737614274,0.156168103,0.764502227,0.604687333,0.711313367,-0.132863492,0.9961133,0.541039944,0.706168115,0.133636028,0.993282139,0.618944049,1.069955349,-0.181253761,0.686682522,0.534702003,1.046838999,0.17808491,0.710104048,0.631873608,1.341624141,0.209064007,0.195008099,0.559333086,1.335734844,0.421735466,0.166714877,0.646483779,1.378095627,0.23432669,0.181196794,0.56984961,1.379341602,0.437634468,0.156804711,0.599176466,1.444230318,0.069676742,0.135730639,0.532783985,1.432887077,0.271655053,0.105773263
Walking,0.438505471,0.03978274,-0.124033213,0.99896282,0.44901967,-0.000628464,-0.166220874,0.998701632,0.454565197,-0.003208853,-0.166506484,0.998869181,0.460675955,-0.005344712,-0.166739658,0.999048233,0.440991461,0.00738804,-0.099921696,0.998029351,0.440597385,0.00958383,-0.099898197,0.997439563,0.440559477,0.010952606,-0.100201264,0.997110784,0.492261708,0.009783389,-0.279291213,0.99945271,0.469790161,0.017538045,0.022830222,0.996748209,0.456977129,0.071173348,-0.157818854,0.999682546,0.447108686,0.077427097,-0.071803458,0.999054611,0.569129229,0.194490388,-0.360985041,0.999675453,0.497118294,0.228733554,0.184281617,0.998209894,0.613887191,0.494522423,-0.41372481,0.98547262,0.506115913,0.505306602,0.285777569,0.706439257,0.640370905,0.769822955,-0.369051278,0.945712566,0.447507799,0.705011427,0.180431902,0.764640868,0.65579617,0.826281726,-0.416585922,0.915785968,0.43116346,0.756536126,0.185823619,0.729599655,0.640423894,0.835973799,-0.431913525,0.919060588,0.431348473,0.757023394,0.119815096,0.744907796,0.633115828,0.818583429,-0.37124902,0.913515568,0.438957691,0.74210155,0.148146898,0.751071155,0.536588788,0.724649966,-0.140875354,0.995830894,0.500303447,0.71949631,0.141126856,0.993309796,0.522562146,1.107578993,-0.197368741,0.647880673,0.491859972,1.065808296,0.169632688,0.657799482,0.562089443,1.361752391,0.123957083,0.178575799,0.513406873,1.365736246,0.391619503,0.154340371,0.580817103,1.399927616,0.147847176,0.171219319,0.526928306,1.415564179,0.392111242,0.148924246,0.533254445,1.448997498,0.054417789,0.12527144,0.46700877,1.460165858,0.272493094,0.099492915
